the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,42304,414,9300009,235,42769,691,230,42769,-1.087236082,British Columbia,59,Chilliwack (CA)
,42240,411,9700011,1455,40897,693,1395,40897,3.283859452,British Columbia,59,Prince George (CA)
,42061,396,9330151.07,1535,46710,694,1015,46710,-9.952900878,British Columbia,59,Vancouver (CMA)
,41933,389,9150009.03,1475,38775,695,1455,38775,8.144422953,British Columbia,59,Kelowna (CMA)
,41891,386,9320006,2730,39175,696,2595,39175,6.93299298,British Columbia,59,Abbotsford - Mission (CMA)
,41888,385,9150011,2090,36069,697,1985,36069,16.13296737,British Columbia,59,Kelowna (CMA)
,41728,376,9250014,1580,34609,698,1430,34609,20.56979398,British Columbia,59,Kamloops (CA)
,41685,373,9320005.02,3080,39421,699,2950,39421,5.743131833,British Columbia,59,Abbotsford - Mission (CMA)
,41293,360,9330056.01,2400,34545,701,2160,34545,19.53394124,British Columbia,59,Vancouver (CMA)
,41056,346,9350013.01,2205,36167,702,2280,36167,13.51784776,British Columbia,59,Victoria (CMA)
,40425,320,9330227.01,2570,33443,703,1820,33443,20.87731364,British Columbia,59,Vancouver (CMA)
,39134,264,9330226.03,3840,39016,705,2795,39016,0.302440025,British Columbia,59,Vancouver (CMA)
,38933,255,9330130.04,1310,33911,707,1240,33911,14.8093539,British Columbia,59,Vancouver (CMA)
,38891,253,9330224.02,1965,33760,708,1595,33760,15.19845972,British Columbia,59,Vancouver (CMA)
,38821,251,9250012,2055,33709,709,1910,33709,15.16508944,British Columbia,59,Kamloops (CA)
,38418,236,9380015,2795,33780,710,2355,33780,13.73001776,British Columbia,59,Nanaimo (CA)
,37739,215,9300006,1170,37677,711,1100,37677,0.164556626,British Columbia,59,Chilliwack (CA)
,36759,191,9330148,5330,37231,712,2420,37231,-1.267760737,British Columbia,59,Vancouver (CMA)
,36352,180,9300030,225,38528,713,160,38528,-5.647840532,British Columbia,59,Chilliwack (CA)
,34880,141,9330147.07,2765,32030,717,1770,32030,8.897908211,British Columbia,59,Vancouver (CMA)
,33920,123,9330057.02,2225,30005,718,2310,30005,13.04782536,British Columbia,59,Vancouver (CMA)
,32815,100,9300005,1935,31927,719,1695,31927,2.781344943,British Columbia,59,Chilliwack (CA)
,32117,88,9330503.07,2675,30706,720,2510,30706,4.595193122,British Columbia,59,Vancouver (CMA)
,32000,86,9300003,1040,29531,721,855,29531,8.360705699,British Columbia,59,Chilliwack (CA)
,27258,41,9330059.06,4380,14192,722,4450,14192,92.06595265,British Columbia,59,Vancouver (CMA)
,24299,20,9330057.01,1475,19421,723,1475,19421,25.11714124,British Columbia,59,Vancouver (CMA)
,17051,1,9330058,2090,13520,724,2370,13520,26.11686391,British Columbia,59,Vancouver (CMA)
,90581,3911,9300023.02,1030,,191,,,,British Columbia,59,Chilliwack (CA)
,52864,1138,9300020.02,380,,623,,,,British Columbia,59,Chilliwack (CA)
,71680,2572,9380019.02,2990,,420,,,,British Columbia,59,Nanaimo (CA)
,55782,1357,9300018.01,1185,,595,,,,British Columbia,59,Chilliwack (CA)
,117120,5102,9320106.06,1190,,26,,,,British Columbia,59,Abbotsford - Mission (CMA)
,114176,5029,9330286.03,1340,,34,,,,British Columbia,59,Vancouver (CMA)
